run,task,cycle,task_1,task_2,task_3,task_4
4,1,3,81.1,86.04,0.0,0.0
4,1,4,81.33,86.15,0.0,0.0
4,1,5,76.04,94.29,0.0,0.0
4,1,6,77.17,94.51,0.0,0.0
4,1,7,76.94,94.62,0.0,0.0
4,1,8,77.39,94.62,0.0,0.0
4,1,9,78.4,95.16,0.0,0.0
4,2,0,56.58,80.99,54.71,0.0
4,2,1,63.1,80.66,62.57,0.0
4,2,2,77.28,68.35,69.1,0.0
4,2,3,77.62,68.9,77.41,0.0
4,2,4,77.62,70.11,78.96,0.0
4,2,5,76.6,75.38,84.16,0.0
4,2,6,76.27,76.26,84.39,0.0
4,2,7,59.06,69.12,80.18,0.0
4,2,8,61.75,68.79,86.38,0.0
4,2,9,69.74,68.57,84.39,0.0
4,3,0,70.42,72.31,57.92,78.64
4,3,1,68.17,74.51,48.39,93.3
4,3,2,67.72,75.93,53.71,93.64
4,3,3,65.35,77.14,51.94,94.55
4,3,4,65.58,77.69,52.49,94.55
4,3,5,65.58,78.02,53.16,93.98
4,3,6,66.7,75.27,57.36,95.91
4,3,7,66.7,75.49,57.59,95.8
4,3,8,66.59,76.26,52.49,95.91
4,3,9,73.23,79.01,55.7,95.8
